symbol,timeframe,left_path,right_path,relation,overlap_or_gap_seconds
VELVETUSDT,15m,VELVETUSDT_15m_limit100_20260626_190253_enriched_candles.csv,VELVETUSDT_15m_limit100_20260627_181248_enriched_candles.csv,PARTIAL_OVERLAP,5400
VELVETUSDT,15m,VELVETUSDT_15m_limit100_20260626_190253_enriched_candles.csv,VELVETUSDT_15m_limit100_20260627_181248_enriched_candles.jsonl,PARTIAL_OVERLAP,5400
VELVETUSDT,15m,VELVETUSDT_15m_limit100_20260626_190253_enriched_candles.csv,VELVETUSDT_15m_limit100_20260702_200210_enriched_candles.csv,GAP,433800
VELVETUSDT,15m,VELVETUSDT_15m_limit100_20260626_190253_enriched_candles.jsonl,VELVETUSDT_15m_limit100_20260627_161019_enriched_candles.csv,PARTIAL_OVERLAP,12600
VELVETUSDT,15m,VELVETUSDT_15m_limit100_20260626_190253_enriched_candles.jsonl,VELVETUSDT_15m_limit100_20260627_161019_enriched_candles.jsonl,PARTIAL_OVERLAP,12600
VELVETUSDT,15m,VELVETUSDT_15m_limit100_20260626_190253_enriched_candles.jsonl,VELVETUSDT_15m_limit100_20260627_181248_enriched_candles.csv,PARTIAL_OVERLAP,5400
VELVETUSDT,15m,VELVETUSDT_15m_limit100_20260626_190253_enriched_candles.jsonl,VELVETUSDT_15m_limit100_20260627_181248_enriched_candles.jsonl,PARTIAL_OVERLAP,5400
VELVETUSDT,15m,VELVETUSDT_15m_limit100_20260626_190253_enriched_candles.jsonl,VELVETUSDT_15m_limit100_20260702_200210_enriched_candles.csv,GAP,433800
VELVETUSDT,15m,VELVETUSDT_15m_limit100_20260627_161019_enriched_candles.csv,VELVETUSDT_15m_limit100_20260627_161019_enriched_candles.jsonl,EXACT_COVERAGE,0
VELVETUSDT,15m,VELVETUSDT_15m_limit100_20260627_161019_enriched_candles.csv,VELVETUSDT_15m_limit100_20260627_181248_enriched_candles.csv,PARTIAL_OVERLAP,81000
VELVETUSDT,15m,VELVETUSDT_15m_limit100_20260627_161019_enriched_candles.csv,VELVETUSDT_15m_limit100_20260627_181248_enriched_candles.jsonl,PARTIAL_OVERLAP,81000
VELVETUSDT,15m,VELVETUSDT_15m_limit100_20260627_161019_enriched_candles.csv,VELVETUSDT_15m_limit100_20260702_200210_enriched_candles.csv,GAP,358200
VELVETUSDT,15m,VELVETUSDT_15m_limit100_20260627_161019_enriched_candles.jsonl,VELVETUSDT_15m_limit100_20260627_181248_enriched_candles.csv,PARTIAL_OVERLAP,81000
VELVETUSDT,15m,VELVETUSDT_15m_limit100_20260627_161019_enriched_candles.jsonl,VELVETUSDT_15m_limit100_20260627_181248_enriched_candles.jsonl,PARTIAL_OVERLAP,81000
VELVETUSDT,15m,VELVETUSDT_15m_limit100_20260627_161019_enriched_candles.jsonl,VELVETUSDT_15m_limit100_20260702_200210_enriched_candles.csv,GAP,358200
VELVETUSDT,15m,VELVETUSDT_15m_limit100_20260627_181248_enriched_candles.csv,VELVETUSDT_15m_limit100_20260627_181248_enriched_candles.jsonl,EXACT_COVERAGE,0
VELVETUSDT,15m,VELVETUSDT_15m_limit100_20260627_181248_enriched_candles.csv,VELVETUSDT_15m_limit100_20260702_200210_enriched_candles.csv,GAP,351000
VELVETUSDT,15m,VELVETUSDT_15m_limit100_20260627_181248_enriched_candles.jsonl,VELVETUSDT_15m_limit100_20260702_200210_enriched_candles.csv,GAP,351000
VELVETUSDT,1d,VELVETUSDT_1d_limit100_20260627_161135_enriched_candles.csv,VELVETUSDT_1d_limit100_20260627_161135_enriched_candles.jsonl,EXACT_COVERAGE,0
VELVETUSDT,1h,VELVETUSDT_1h_limit100_20260627_161039_enriched_candles.csv,VELVETUSDT_1h_limit100_20260627_161039_enriched_candles.jsonl,EXACT_COVERAGE,0
VELVETUSDT,4h,VELVETUSDT_4h_limit100_20260627_161103_enriched_candles.csv,VELVETUSDT_4h_limit100_20260627_161103_enriched_candles.jsonl,EXACT_COVERAGE,0
